StationID,Longitude,Latitude,Height,Remark,Distance_from_Zurich
8503862,8.533142999999999,47.287707,478,"Langnau a.A.,Schwerzi-Wildpark",10073.821042240936
8503871,8.498644,47.503739,407,"Höri, Oberhöri",14307.239557403074
8503872,8.726786,47.356295,488,"Uster, Reithalle",14261.847466954723
8503879,8.356525,47.372442,571,"Widen, Imbismatt",13844.896677054297
8503885,8.493797,47.482259,424,"Niederhasli, Hofstetterstrasse",12088.131430512074
8503887,8.529893,47.282672999999996,478,"Langnau am Albis,Oberrenggstr.",10647.887760719943
8503896,8.586541,47.252708,637,"Horgenberg, Moorschwand",14382.393467771046
8503898,8.59718,47.251072,535,"Horgen, Stotzweid/Feller",14771.960251524893
8503988,8.734278,47.374796,541,"Freudwil, Im Dörfli",14619.26569599356
8503989,8.563686,47.4799,450,"Winkel, Oberrüti",11448.315552667118
8506889,8.594695,47.502532,430,"Embrach, Gemeindehaus",14422.40701160759
8506895,8.593651,47.488663,464,"Lufingen, Dorf",12926.789536997947
8506897,8.593758,47.505239,430,"Embrach, Post",14691.739740669058
8506898,8.61957,47.486989,465,"Oberembrach, Dorf",13492.343403533709
8506960,8.676483000000001,47.472038,612,"Brütten, Zentrum",14630.571920958091
8506962,8.648272,47.446683,505,"Nürensdorf, Post",11143.07089837003
8517376,8.400912,47.401989,394,Dietikon Schöneggstrasse,10814.061739171508
8517377,8.350274,47.353792,400,Bibenlos-Sonnenhof,14558.172150305474
8530471,8.546402,47.376858,446,Hochschulen,490.05826203981917
8530472,8.548919999999999,47.385883,490,Zürich Seilbahn Rigiblick,1079.8397586438732
8530473,8.553414,47.387333,580,"Zürich, Rigiblick",1423.9077082492524
8530643,8.604638000000001,47.259228,407,Horgen Autoquai,14090.46778952783
8530644,8.638475999999999,47.267975,407,Meilen Autoquai,14319.177335111352
8530645,8.679022999999999,47.340284000000004,460,Maur (See),11274.179125730609
8530646,8.690114999999999,47.343222999999995,460,Uster (See),11942.55511834592
8530647,8.652712,47.365759999999995,436,Fällanden (See),8585.095602288902
8530648,8.674927,47.364535,440,Greifensee (See),10259.130042943923
8530696,8.699924000000001,47.32598,437,Mönchaltorf (See),13359.805590207377
8530811,8.57502,47.354578000000004,477,Zürich Balgrist,3710.257832678925
8530812,8.560623,47.36169,435,Zürich Hegibachplatz,2393.372805931561
8530813,8.554083,47.364875,424,Zürich Kreuzplatz,1811.6430517479073
8530822,8.542632000000001,47.373233,408,Zürich Limmatquai,579.6377207304776
8557033,8.490012,47.459266,476,"Oberhasli, Industrie",9775.210181455453
8557034,8.471447999999999,47.465613,436,"Niederhasli, Nassenwil",11012.453592615217
8570706,8.398017,47.293426000000004,419,"Jonen, Weingasse",14268.713066484273
8572560,8.366760000000001,47.361801,550,"Berikon-Widen, Bahnhof",13187.145565126999
8572561,8.344033999999999,47.388534,590,"Bellikon, Rehaklinik",14813.35998012747
8572568,8.348517999999999,47.356387,386,"Bremgarten AG, Badenerstrasse",14637.25921541709
8572595,8.420568,47.347126,527,"Birmensdorf ZH, Altenberg",9648.810056017928
8572596,8.401064,47.341479,610,"Oberwil-Lieli, Englisächer",11245.928089995628
8572597,8.394031,47.341115,588,"Oberwil-Lieli, im Moos",11755.30457136478
8572598,8.38007,47.344126,579,"Berikon, Mattenhof",12640.866035008323
8572599,8.366292999999999,47.356282,550,"Berikon, Kreisschule",13321.044102401696
8572600,8.351983,47.344648,392,"Zufikon, Emaus",14658.016700873193
8572601,8.354633,47.34174,391,"Zufikon, Algier",14552.137752180131
8572602,8.388917999999999,47.313362,435,"Oberlunkhofen, Kellerämterst.",13484.89542460699
8572603,8.393854,47.299469,423,"Jonen, Käppeli",14077.979998457464
8572604,8.423111,47.269764,436,"Obfelden, Bickwil",14939.877838815051
8572605,8.402261,47.2839,412,"Ottenbach, Hinterdorf",14763.176908360552
8572606,8.407425,47.277803000000006,421,"Ottenbach, Ulmenhof",14989.90400391661
8572646,8.380158,47.32063,397,"Unterlunkhofen, Gemeindehaus",13649.418974621623
8572647,8.364422,47.316323,379,"Rottenschwil, Seematten",14922.168773317686
8572747,8.346174000000001,47.351692,386,"Bremgarten AG, Bahnhof",14906.323136336694
8573158,8.51781,47.274745,468,"Langnau am Albis, Hinteralbis",11624.171438989511
8573159,8.52777,47.275794,468,"Langnau am Albis, Mittelalbis",11422.902581936172
8573160,8.539983,47.288613,468,"Langnau am Albis, Dorf",9959.074864552615
8573161,8.543696,47.28722,468,"Langnau-Gattikon, Bahnhof",10117.403607707409
8573162,8.545611,47.283306,435,"Gattikon, Gattikerhof",10557.076218716878
8573163,8.555094,47.285464000000005,435,"Gattikon, Gattikerhöhe",10370.20558409989
8573164,8.559678,47.29034,435,"Thalwil, Feldstrasse",9876.800265409529
8573165,8.562213999999999,47.287715000000006,435,"Thalwil, Schützenhaus",10194.90279923179
