id1,lon1,lat1,h1,id2,lon2,lat2,h2,dh,Distance(m),speed,Transfer_time (s)
8503020,8.517106,47.385195,415,8503020,8.517106,47.385195,415,0.0,0.0,50.0,120
8503020,8.517106,47.385195,415,8591060,8.517033999999999,47.384935,404,-11.0,31.507432741495972,50.11,120
8503020,8.517106,47.385195,415,8591177,8.514532,47.382341,407,-8.0,382.940543085189,50.08,540
8503020,8.517106,47.385195,415,8591391,8.515655,47.388789,402,-13.0,417.677484861846,50.13,600
8503020,8.517106,47.385195,415,8594239,8.519445,47.387575,404,-11.0,328.68956375334153,50.11,480
8503051,8.518424000000001,47.362632,421,8503051,8.518424000000001,47.362632,421,0.0,0.0,50.0,120
8503051,8.518424000000001,47.362632,421,8503091,8.521849000000001,47.362456,418,-3.0,285.66393476842364,50.03,420
8503051,8.518424000000001,47.362632,421,8591245,8.517087,47.358732,436,15.0,447.95163308829143,49.85,600
8503051,8.518424000000001,47.362632,421,8591269,8.521632,47.365445,416,-5.0,411.23595136110833,50.05,600
8503051,8.518424000000001,47.362632,421,8591308,8.514666,47.362747999999996,428,7.0,313.02941449036257,49.93,480
8503051,8.518424000000001,47.362632,421,8591366,8.523031,47.360061,420,-1.0,478.1845150007158,50.01,660
8503051,8.518424000000001,47.362632,421,8591824,8.518324,47.362966,422,1.0,38.07288482649098,49.99,120
8503052,8.507942,47.364781,446,8503052,8.507942,47.364781,446,0.0,0.0,50.0,120
8503052,8.507942,47.364781,446,8503053,8.503047,47.364988000000004,459,13.0,408.14783750014595,49.87,600
8503052,8.507942,47.364781,446,8591083,8.511676,47.362839,430,-16.0,378.6948419356094,50.16,540
8503052,8.507942,47.364781,446,8591084,8.511047999999999,47.3619,431,-15.0,411.86857262274737,50.15,600
8503052,8.507942,47.364781,446,8591149,8.507997999999999,47.364284999999995,443,-3.0,55.43039958188,50.03,180
8503052,8.507942,47.364781,446,8591151,8.505094,47.362063,466,20.0,384.568071240444,49.8,540
8503052,8.507942,47.364781,446,8591195,8.511037,47.367945,426,-20.0,436.4619585281424,50.2,600
8503052,8.507942,47.364781,446,8591351,8.502699,47.364775,456,10.0,436.3605167179443,49.9,600
8503053,8.503047,47.364988000000004,459,8503052,8.507942,47.364781,446,-13.0,408.1461519290963,50.13,600
8503053,8.503047,47.364988000000004,459,8503053,8.503047,47.364988000000004,459,0.0,0.0,50.0,120
8503053,8.503047,47.364988000000004,459,8580912,8.501841,47.368903,435,-24.0,447.38871725558334,50.24,600
8503053,8.503047,47.364988000000004,459,8591149,8.507997999999999,47.364284999999995,443,-16.0,419.60277537411594,50.16,600
8503053,8.503047,47.364988000000004,459,8591150,8.502400999999999,47.361117,487,28.0,434.68111019794446,49.72,600
