Day,Trip_ID,Type,Line_ID,Start_Station,Start_ID,Start_Time,Start_Delay,Stop_Station,Stop_ID,Stop_Time,Stop_Delay
2019-05-15,85:11:18265:001,Zug,18265,Zürich HB,8503000,2019-05-15 17:17:00,0.0,Zürich Wiedikon,8503011,2019-05-15 17:19:00,0.0
2019-05-15,85:11:18265:001,Zug,18265,Zürich Wiedikon,8503011,2019-05-15 17:19:00,0.0,Zürich Enge,8503010,2019-05-15 17:23:00,0.0
2019-05-15,85:11:18266:001,Zug,18266,Zürich Enge,8503010,2019-05-15 17:36:00,0.0,Zürich Wiedikon,8503011,2019-05-15 17:37:00,0.0
2019-05-15,85:11:18266:001,Zug,18266,Zürich Wiedikon,8503011,2019-05-15 17:37:00,0.0,Zürich HB,8503000,2019-05-15 17:42:00,0.0
2019-05-15,85:11:18266:001,Zug,18266,Zürich HB,8503000,2019-05-15 17:44:00,0.0,Zürich Oerlikon,8503006,2019-05-15 17:48:00,0.0
2019-05-15,85:11:18267:001,Zug,18267,Zürich Oerlikon,8503006,2019-05-15 17:41:00,0.0,Zürich HB,8503000,2019-05-15 17:46:00,0.0
2019-05-15,85:11:18267:001,Zug,18267,Zürich HB,8503000,2019-05-15 17:47:00,0.0,Zürich Wiedikon,8503011,2019-05-15 17:49:00,0.0
2019-05-15,85:11:18267:001,Zug,18267,Zürich Wiedikon,8503011,2019-05-15 17:49:00,0.0,Zürich Enge,8503010,2019-05-15 17:53:00,0.0
2019-05-15,85:11:18268:001,Zug,18268,Zürich Enge,8503010,2019-05-15 18:06:00,0.0,Zürich Wiedikon,8503011,2019-05-15 18:07:00,0.0
2019-05-15,85:11:18268:001,Zug,18268,Zürich Wiedikon,8503011,2019-05-15 18:07:00,0.0,Zürich HB,8503000,2019-05-15 18:12:00,0.0
2019-05-15,85:11:18268:001,Zug,18268,Zürich HB,8503000,2019-05-15 18:14:00,0.0,Zürich Oerlikon,8503006,2019-05-15 18:18:00,0.0
2019-05-15,85:11:18269:001,Zug,18269,Zürich Oerlikon,8503006,2019-05-15 18:11:00,0.0,Zürich HB,8503000,2019-05-15 18:16:00,0.0
2019-05-15,85:11:18269:001,Zug,18269,Zürich HB,8503000,2019-05-15 18:17:00,0.0,Zürich Wiedikon,8503011,2019-05-15 18:19:00,0.0
2019-05-15,85:11:18269:001,Zug,18269,Zürich Wiedikon,8503011,2019-05-15 18:19:00,0.0,Zürich Enge,8503010,2019-05-15 18:23:00,0.0
2019-05-15,85:11:18270:001,Zug,18270,Zürich Enge,8503010,2019-05-15 18:36:00,0.0,Zürich Wiedikon,8503011,2019-05-15 18:37:00,0.0
2019-05-15,85:11:18270:001,Zug,18270,Zürich Wiedikon,8503011,2019-05-15 18:37:00,0.0,Zürich HB,8503000,2019-05-15 18:42:00,0.0
2019-05-15,85:11:18270:001,Zug,18270,Zürich HB,8503000,2019-05-15 18:44:00,0.0,Zürich Oerlikon,8503006,2019-05-15 18:48:00,0.0
2019-05-15,85:11:18271:001,Zug,18271,Zürich Oerlikon,8503006,2019-05-15 18:41:00,0.0,Zürich HB,8503000,2019-05-15 18:46:00,0.0
2019-05-15,85:11:18271:001,Zug,18271,Zürich HB,8503000,2019-05-15 18:47:00,0.0,Zürich Wiedikon,8503011,2019-05-15 18:49:00,0.0
2019-05-15,85:11:18271:001,Zug,18271,Zürich Wiedikon,8503011,2019-05-15 18:49:00,0.0,Zürich Enge,8503010,2019-05-15 18:53:00,0.0
2019-05-15,85:11:18272:001,Zug,18272,Zürich Enge,8503010,2019-05-15 19:06:00,0.0,Zürich Wiedikon,8503011,2019-05-15 19:07:00,0.0
2019-05-15,85:11:18272:001,Zug,18272,Zürich Wiedikon,8503011,2019-05-15 19:07:00,0.0,Zürich HB,8503000,2019-05-15 19:12:00,0.0
2019-05-15,85:11:18272:001,Zug,18272,Zürich HB,8503000,2019-05-15 19:14:00,0.0,Zürich Oerlikon,8503006,2019-05-15 19:18:00,0.0
2019-05-15,85:11:18273:001,Zug,18273,Zürich Oerlikon,8503006,2019-05-15 19:11:00,0.0,Zürich HB,8503000,2019-05-15 19:16:00,0.0
2019-05-15,85:11:18273:001,Zug,18273,Zürich HB,8503000,2019-05-15 19:17:00,0.0,Zürich Wiedikon,8503011,2019-05-15 19:19:00,0.0
2019-05-15,85:11:18273:001,Zug,18273,Zürich Wiedikon,8503011,2019-05-15 19:19:00,0.0,Zürich Enge,8503010,2019-05-15 19:23:00,0.0
2019-05-15,85:11:18274:001,Zug,18274,Zürich Enge,8503010,2019-05-15 19:36:00,0.0,Zürich Wiedikon,8503011,2019-05-15 19:37:00,0.0
2019-05-15,85:11:18274:001,Zug,18274,Zürich Wiedikon,8503011,2019-05-15 19:37:00,0.0,Zürich HB,8503000,2019-05-15 19:42:00,0.0
2019-05-15,85:11:18274:001,Zug,18274,Zürich HB,8503000,2019-05-15 19:44:00,0.0,Zürich Oerlikon,8503006,2019-05-15 19:48:00,0.0
2019-05-15,85:11:18275:001,Zug,18275,Zürich Oerlikon,8503006,2019-05-15 19:41:00,0.0,Zürich HB,8503000,2019-05-15 19:46:00,0.0
2019-05-15,85:11:18275:001,Zug,18275,Zürich HB,8503000,2019-05-15 19:47:00,0.0,Zürich Wiedikon,8503011,2019-05-15 19:49:00,0.0
2019-05-15,85:11:18275:001,Zug,18275,Zürich Wiedikon,8503011,2019-05-15 19:49:00,0.0,Zürich Enge,8503010,2019-05-15 19:53:00,0.0
2019-05-15,85:11:18276:001,Zug,18276,Zürich Enge,8503010,2019-05-15 20:06:00,0.0,Zürich Wiedikon,8503011,2019-05-15 20:07:00,0.0
2019-05-15,85:11:18276:001,Zug,18276,Zürich Wiedikon,8503011,2019-05-15 20:07:00,0.0,Zürich HB,8503000,2019-05-15 20:12:00,0.0
2019-05-15,85:11:18276:001,Zug,18276,Zürich HB,8503000,2019-05-15 20:14:00,0.0,Zürich Oerlikon,8503006,2019-05-15 20:18:00,0.0
2019-05-15,85:11:18277:001,Zug,18277,Zürich Oerlikon,8503006,2019-05-15 20:11:00,0.0,Zürich HB,8503000,2019-05-15 20:16:00,0.0
2019-05-15,85:11:18277:001,Zug,18277,Zürich HB,8503000,2019-05-15 20:17:00,0.0,Zürich Wiedikon,8503011,2019-05-15 20:19:00,0.0
2019-05-15,85:11:18277:001,Zug,18277,Zürich Wiedikon,8503011,2019-05-15 20:19:00,0.0,Zürich Enge,8503010,2019-05-15 20:23:00,0.0
2019-05-15,85:11:18278:001,Zug,18278,Zürich Enge,8503010,2019-05-15 20:36:00,0.0,Zürich Wiedikon,8503011,2019-05-15 20:37:00,0.0
2019-05-15,85:11:18278:001,Zug,18278,Zürich Wiedikon,8503011,2019-05-15 20:37:00,0.0,Zürich HB,8503000,2019-05-15 20:42:00,0.0
